"Line.ID","dataset","machine","day","Plate","initOD","finalOD","maxSlope","OD_maxSlope","time_maxSlope","finalTime","mateA","mateB","genotype","ploidy","RDH","petite","MA","KO","plasmidTransformed"
"3x3","Jan2020",2,1,1,0.270333333333333,1.161,0.235637341339245,0.685,11,22.25,"3",3,"homozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"3x3","Jan2020",2,1,2,0.254166666666667,1.13933333333333,0.270886152092809,0.631,11.5,22.25,"3",3,"homozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"93x67","Jan2020",2,1,1,0.261833333333333,1.18933333333333,0.215186273042067,0.679,13,22.25,"93",67,"heterozygote","diploid","wt",TRUE,FALSE,TRUE,TRUE
"93x67","Jan2020",2,1,1,0.256333333333333,1.19533333333333,0.252371356096459,0.911,15,22.25,"93",67,"heterozygote","diploid","wt",TRUE,FALSE,TRUE,TRUE
"58x20","Jan2020",2,1,1,0.256666666666667,1.16566666666667,0.223168234714244,0.62,14.5,22.25,"58",20,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"58x20","Jan2020",2,1,2,0.255833333333333,1.17,0.208309168930887,0.606,14,22.25,"58",20,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"94x96","Jan2020",2,1,1,0.2585,1.08566666666667,0.181129432458293,0.436,15,22.25,"94",96,"heterozygote","diploid","del",TRUE,FALSE,TRUE,TRUE
"94x96","Jan2020",2,1,1,0.261833333333333,1.112,0.21811458739418,0.658,17,22.25,"94",96,"heterozygote","diploid","del",TRUE,FALSE,TRUE,TRUE
"92x92","Jan2020",2,1,1,0.252833333333333,1.09816666666667,0.211622265661182,0.6,15,22.25,"92",92,"homozygote","diploid","wt",TRUE,FALSE,TRUE,TRUE
"26","Jan2020",2,1,1,0.261166666666667,1.3535,0.281026539128426,0.84,11,22.25,"26",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,TRUE
"31","Jan2020",2,1,1,0.2615,1.387,0.250881246321999,0.847,11,22.25,"31",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,TRUE
"69x67","Jan2020",2,1,1,0.2565,1.155,0.251421653238437,0.746,15,22.25,"69",67,"heterozygote","diploid","wt",TRUE,FALSE,TRUE,TRUE
"116x116","Jan2020",2,1,1,0.254333333333333,1.14833333333333,0.249948063907324,0.621,11.5,22.25,"116",116,"homozygote","diploid","del",FALSE,FALSE,TRUE,TRUE
"29x29","Jan2020",2,1,1,0.256166666666667,1.1245,0.181395251791505,0.677,14,22.25,"29",29,"homozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"33x33","Jan2020",2,1,1,0.2575,1.111,0.241435502162934,0.724,15,22.25,"33",33,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"80x135","Jan2020",2,1,1,0.254666666666667,1.18966666666667,0.251398737133313,0.582,10,22.25,"80",135,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"80x135","Jan2020",2,1,1,0.255,1.20533333333333,0.254403179361651,0.589,10,22.25,"80",135,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"103x96","Jan2020",2,1,1,0.2565,1.12783333333333,0.199257094996019,0.71,13.5,22.25,"103",96,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"103x96","Jan2020",2,1,1,0.255833333333333,1.201,0.198289276273633,0.802,14,22.25,"103",96,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
