"Day","Machine","Plate","Well.ID","mean_OD","min_OD","init_OD"
4,1,2,227,0.21011,0.203,0.209
4,2,2,292,0.201052083333333,0.196,0.199
5,2,1,157,0.19690625,0.185,0.19925
6,1,2,222,0.218084507042254,0,0.212625
6,2,2,287,0.189355555555556,0.143,0.1945
8,2,1,152,0.228372340425532,0.188,0.22575
9,2,2,217,0.224927083333333,0.202,0.22775
10,2,2,282,0.166604651162791,0.164,0.1665
12,2,1,147,0.145894736842105,0.121,0.14725
13,2,2,212,0.142177777777778,0.116,0.132125
14,2,2,277,0.140479166666667,0.111,0.145125
16,2,1,142,0.1443125,0.142,0.14325
17,2,2,207,0.208166666666667,0.206,0.2135
18,2,2,272,0.212291666666667,0.209,0.21625
20,2,1,137,0.21659375,0.214,0.222125
21,2,2,202,0.214375,0.21,0.217375
22,2,2,267,0.211610526315789,0.209,0.2145
