"Line.ID","dataset","machine","day","plate","initOD","finalOD","maxSlope","OD_maxSlope","time_maxSlope","finalTime","mateA","mateB","genotype","ploidy","RDH","petite","MA","KO","plasmidTransformed"
"115x115","Sep2019",1,1,1,0.223833333333333,1.11033333333333,0.201679443900815,0.568,11,21,"115",115,"homozygote","diploid","wt",TRUE,FALSE,TRUE,TRUE
"30x92","Sep2019",1,1,1,0.213,1.1145,0.211978802455715,0.553,11,21,"30",92,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"98","Sep2019",1,1,1,0.210833333333333,1.14366666666667,0.240822507990845,0.575,13.5,21,"98",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"62x67","Sep2019",1,1,1,0.223833333333333,1.30133333333333,0.234794971976093,0.6,10,21,"62",67,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"22","Sep2019",1,1,1,0.2165,1.14433333333333,0.260554974745864,0.597,9,21,"22",NA,"haploid","haploid","del",FALSE,FALSE,TRUE,FALSE
"33x136","Sep2019",1,1,1,0.202333333333333,1.1165,0.231320032006987,0.525,11.5,21,"33",136,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"69x69","Sep2019",1,1,1,0.206833333333333,1.10933333333333,0.247441016526517,0.567,12,21,"69",69,"homozygote","diploid","wt",TRUE,FALSE,TRUE,TRUE
"14x14","Sep2019",1,1,1,0.203,1.09033333333333,0.221923289667192,0.529,11.5,21,"14",14,"homozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"5x136","Sep2019",1,1,1,0.2025,1.09466666666667,0.220173506521037,0.538,12,21,"5",136,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"66","Sep2019",1,1,1,0.206833333333333,1.10866666666667,0.270126249329872,0.586,9.5,21,"66",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"8x67","Sep2019",1,1,1,0.2045,0.995,0.138807202609836,0.583,15,21,"8",67,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"68x136","Sep2019",1,1,1,0.208,1.47633333333333,0.244705765661823,0.572,10,21,"68",136,"heterozygote","diploid","wt",FALSE,FALSE,TRUE,TRUE
"126","Sep2019",1,1,1,0.220166666666667,1.17333333333333,0.270619808012684,0.52,8,21,"126",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"27x136","Sep2019",1,1,1,0.215166666666667,1.1555,0.23742566035434,0.591,10.5,21,"27",136,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"88x136","Sep2019",1,1,1,0.205666666666667,1.043,0.237754201865004,0.652,11.5,21,"88",136,"heterozygote","diploid","wt",FALSE,TRUE,TRUE,TRUE
"20","Sep2019",1,1,1,0.2125,0.942833333333333,0.2781807382779,0.545,8.5,21,"20",NA,"haploid","haploid","wt",FALSE,FALSE,TRUE,FALSE
"40x40","Sep2019",1,1,1,0.205166666666667,1.12016666666667,0.217736674662516,0.553,11,21,"40",40,"homozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"46","Sep2019",1,1,1,0.213666666666667,1.159,0.277332540282726,0.583,8.5,21,"46",NA,"haploid","haploid","del",FALSE,FALSE,TRUE,FALSE
"106x134","Sep2019",1,1,1,0.202833333333333,1.09333333333333,0.218581741373569,0.526,11,21,"106",134,"heterozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"128","Sep2019",1,1,1,0.228166666666667,1.37266666666667,0.264394003324231,0.551,8,21,"128",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,FALSE
"14x48","Sep2019",1,1,1,0.2025,1.11316666666667,0.204918654306274,0.542,12,21,"14",48,"heterozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"134x134","Sep2019",1,1,1,0.211,1.09466666666667,0.261172446130997,0.517,8.5,21,"134",134,"homozygote","diploid","del",FALSE,FALSE,TRUE,TRUE
"24x24","Sep2019",1,1,1,0.213166666666667,1.11,0.26224332534408,0.553,8.5,21,"24",24,"homozygote","diploid","del",FALSE,FALSE,TRUE,TRUE
"37x37","Sep2019",1,1,1,0.200833333333333,1.10866666666667,0.225067970927029,0.589,11.5,21,"37",37,"homozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"8","Sep2019",1,1,1,0.211166666666667,1.0805,0.282485042474301,0.543,8.5,21,"8",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"73x95","Sep2019",1,1,1,0.203333333333333,1.09433333333333,0.225156976058072,0.558,11.5,21,"73",95,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"48x95","Sep2019",1,1,1,0.200166666666667,1.08466666666667,0.268426270866318,0.512,9.5,21,"48",95,"heterozygote","diploid","del",FALSE,FALSE,TRUE,TRUE
"73x73","Sep2019",1,1,1,0.199,1.08633333333333,0.270513652211868,0.558,10,21,"73",73,"homozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"38","Sep2019",1,1,1,0.207166666666667,1.15433333333333,0.276283194278193,0.551,9,21,"38",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,FALSE
"128x128","Sep2019",1,1,1,0.221333333333333,1.14666666666667,0.21748579143166,0.575,10,21,"128",128,"homozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"106","Sep2019",1,1,1,0.207333333333333,1.16066666666667,0.22091091603782,0.546,12,21,"106",NA,"haploid","haploid","del",TRUE,TRUE,TRUE,FALSE
"15x15","Sep2019",1,1,1,0.206333333333333,1.0985,0.23597057997593,0.566,12,21,"15",15,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"131x131","Sep2019",1,1,1,0.196,1.105,0.208611387214619,0.581,13,21,"131",131,"homozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"67x67","Sep2019",1,1,1,0.211166666666667,0.869166666666667,0.25593501150889,0.695,13,21,"67",67,"homozygote","diploid","wt",FALSE,FALSE,TRUE,TRUE
"124x136","Sep2019",1,1,1,0.203,1.169,0.228554843262341,0.644,12.5,21,"124",136,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"119","Sep2019",1,1,1,0.217666666666667,1.17033333333333,0.271040582860982,0.52,8,21,"119",NA,"haploid","haploid","wt",FALSE,FALSE,TRUE,FALSE
"18","Sep2019",1,1,1,0.217833333333333,1.19433333333333,0.283721895788513,0.544,8,21,"18",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"89x89","Sep2019",1,1,1,0.204,1.11683333333333,0.227494174354081,0.53,11,21,"89",89,"homozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"71x134","Sep2019",1,1,1,0.1965,1.073,0.273297919406446,0.535,10.5,21,"71",134,"heterozygote","diploid","del",FALSE,FALSE,TRUE,TRUE
"123x123","Sep2019",1,1,1,0.221166666666667,1.121,0.205409602949125,0.571,10.5,21,"123",123,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"100","Sep2019",1,1,1,0.2105,1.178,0.217979651007116,0.562,12,21,"100",NA,"haploid","haploid","del",TRUE,TRUE,TRUE,FALSE
"57","Sep2019",1,1,1,0.230666666666667,1.19466666666667,0.267698077227596,0.551,7.5,21,"57",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,FALSE
"130x95","Sep2019",1,1,1,0.208833333333333,1.08433333333333,0.26459295014436,0.528,9,21,"130",95,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"82","Sep2019",1,1,1,0.220333333333333,1.31716666666667,0.281032111409951,0.582,8,21,"82",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
