Set,FACS_well,Sample,plate,OD,note,,,,,,,,,,,,,,
1,A1,mata control (unstained),1,na,,,,,,,,,,,,,,,
1,A2,matalpha control (unstained),1,na,,,,,,,,,,,,,,,
1,A3,diploid control (unstained,1,na,,,,,,,,,,,,,,,
1,A4,mata control (stained),1,na,,,,,,,,,,,,,,,
1,A5,matalpha control (stained),1,na,,,,,,,,,,,,,,,
1,A6,diploid control (stained),1,na,,,,,,,,,,,,,,,
1,A7,1x1,1,na,,,,,,,,,,,,,,,
1,A8,1x67,1,na,,,,,,,,,,,,,,,
1,A9,2x2,1,na,,,,,,,,,,,,,,,
1,A10,2x92,1,na,,,,,,,,,,,,,,,
1,A11,3x48,1,na,,,,,,,,,,,,,,,
1,A12,4x4,1,na,,,,,,,,,,,,,,,
1,B1,4x134,1,na,,,,,,,,,,,,,,,
1,B2,5x5,1,na,,,,,,,,,,,,,,,
1,B3,5x136,1,na,,,,,,,,,,,,,,,
1,B4,6x6,1,na,,,,,,,,,,,,,,,
1,B5,6x95,1,na,,,,,,,,,,,,,,,
1,B6,7x48,1,na,,,,,,,,,,,,,,,
1,B7,8x8,1,na,,,,,,,,,,,,,,,
1,B8,8x67,1,na,,,,,,,,,,,,,,,
1,B9,9x9,1,na,,,,,,,,,,,,,,,
1,B10,10x10,1,na,,,,,,,,,,,,,,,
1,B11,10x95,1,na,,,,,,,,,,,,,,,
1,B12,11x92,1,na,,,,,,,,,,,,,,,
1,C1,12x12,1,na,,,,,,,,,,,,,,,
1,C2,12x136,1,na,,,,,,,,,,,,,,,
1,C3,14x14,1,na,,,,,,,,,,,,,,,
1,C4,14x48,1,na,,,,,,,,,,,,,,,
1,C5,15x15,1,na,,,,,,,,,,,,,,,
1,C6,15x67,1,na,,,,,,,,,,,,,,,
1,C7,16x16,1,na,,,,,,,,,,,,,,,
1,C8,16x134,1,na,,,,,,,,,,,,,,,
1,C9,17x17,1,na,,,,,,,,,,,,,,,
1,C10,17x95,1,na,,,,,,,,,,,,,,,
1,C11,18x18,1,na,,,,,,,,,,,,,,,
1,C12,18x92,1,na,,,,,,,,,,,,,,,
1,D1,19x19,1,na,,,,,,,,,,,,,,,
1,D2,19x92,1,na,,,,,,,,,,,,,,,
1,D3,20x20,1,na,,,,,,,,,,,,,,,
1,D4,20x136,1,na,,,,,,,,,,,,,,,
1,D5,22x22,1,na,,,,,,,,,,,,,,,
1,D6,22x134,1,na,,,,,,,,,,,,,,,
1,D7,23x23,1,na,,,,,,,,,,,,,,,
1,D8,23x67,1,na,,,,,,,,,,,,,,,
1,D9,24x24,1,na,,,,,,,,,,,,,,,
1,D10,24x95,1,na,,,,,,,,,,,,,,,
1,D11,25x25,1,na,,,,,,,,,,,,,,,
1,D12,25x48,1,na,,,,,,,,,,,,,,,
1,E1,27x27,1,na,,,,,,,,,,,,,,,
1,E2,27x136,1,na,,,,,,,,,,,,,,,
1,E3,28x28,1,na,,,,,,,,,,,,,,,
1,E4,28x67,1,na,,,,,,,,,,,,,,,
1,E5,29x29,1,na,,,,,,,,,,,,,,,
1,E6,29x95,1,na,,,,,,,,,,,,,,,
1,E7,30x30,1,na,,,,,,,,,,,,,,,
1,E8,30x92,1,na,,,,,,,,,,,,,,,
1,E9,31x31,1,na,,,,,,,,,,,,,,,
1,E10,31x48,1,na,,,,,,,,,,,,,,,
1,E11,32x32,1,na,,,,,,,,,,,,,,,
1,E12,32x134,1,na,,,,,,,,,,,,,,,
1,F1,33x33,1,na,,,,,,,,,,,,,,,
1,F2,33x136,1,na,,,,,,,,,,,,,,,
1,F3,34x34,1,na,,,,,,,,,,,,,,,
1,F4,34x95,1,na,,,,,,,,,,,,,,,
1,F5,35x35,1,na,,,,,,,,,,,,,,,
1,F6,35x48,1,na,,,,,,,,,,,,,,,
1,F7,36x36,1,na,,,,,,,,,,,,,,,
1,F8,36x67,1,na,,,,,,,,,,,,,,,
1,F9,37x37,1,na,,,,,,,,,,,,,,,
1,F10,37x134,1,na,,,,,,,,,,,,,,,
1,F11,38x38,1,na,,,,,,,,,,,,,,,
1,F12,38x95,1,na,,,,,,,,,,,,,,,
1,G1,39x92,1,na,,,,,,,,,,,,,,,
1,G2,40x40,1,na,,,,,,,,,,,,,,,
1,G3,40x48,1,na,,,,,,,,,,,,,,,
1,G4,41x41,1,na,,,,,,,,,,,,,,,
1,G5,41x134,1,na,,,,,,,,,,,,,,,
1,G6,42x42,1,na,,,,,,,,,,,,,,,
1,G7,42x136,1,na,,,,,,,,,,,,,,,
1,G8,43x43,1,na,,,,,,,,,,,,,,,
1,G9,43x92,1,na,,,,,,,,,,,,,,,
1,G10,44x44,1,na,,,,,,,,,,,,,,,
