"line","mateA","mateB","genotype","RDH","n_bott","control","ploidy","petite"
"3x3","3",3,"homozygote","del",100,FALSE,"diploid",FALSE
"93x67","93",67,"heterozygote","wt",0,TRUE,"diploid",TRUE
"58x20","58",20,"heterozygote","wt",100,FALSE,"diploid",TRUE
"94x96","94",96,"heterozygote","del",0,TRUE,"diploid",TRUE
"92x92","92",92,"homozygote","wt",0,TRUE,"diploid",TRUE
"26","26",NA,"haploid","del",100,FALSE,"haploid",FALSE
"31","31",NA,"haploid","del",100,FALSE,"haploid",FALSE
"blank","blank",NA,"haploid",NA,NA,NA,"haploid",TRUE
"69x67","69",67,"heterozygote","wt",0,TRUE,"diploid",TRUE
"116x116","116",116,"homozygote","del",0,TRUE,"diploid",FALSE
"29x29","29",29,"homozygote","del",100,FALSE,"diploid",TRUE
"33x33","33",33,"homozygote","wt",100,FALSE,"diploid",TRUE
"80x135","80",135,"heterozygote","del",100,FALSE,"diploid",FALSE
"103x96","103",96,"heterozygote","del",100,FALSE,"diploid",FALSE
"104x67","104",67,"heterozygote","wt",100,FALSE,"diploid",TRUE
"118","118",NA,"haploid","wt",0,TRUE,"haploid",FALSE
"72x96","72",96,"heterozygote","del",0,TRUE,"diploid",FALSE
"71x96","71",96,"heterozygote","del",0,TRUE,"diploid",FALSE
"123x20","123",20,"heterozygote","wt",87,FALSE,"diploid",TRUE
"67x93","67",93,"heterozygote","wt",0,TRUE,"diploid",TRUE
"76x96","76",96,"heterozygote","del",100,FALSE,"diploid",FALSE
"1","1",NA,"haploid","wt",100,FALSE,"haploid",TRUE
"110x110","110",110,"homozygote","wt",87,FALSE,"diploid",TRUE
"50x46","50",46,"heterozygote","del",100,FALSE,"diploid",FALSE
"47x46","47",46,"heterozygote","del",0,TRUE,"diploid",FALSE
"81x67","81",67,"heterozygote","wt",100,FALSE,"diploid",TRUE
"107x135","107",135,"heterozygote","del",100,FALSE,"diploid",FALSE
"109","109",NA,"haploid","wt",87,FALSE,"haploid",FALSE
"120x120","120",120,"homozygote","del",0,TRUE,"diploid",FALSE
"135","135",NA,"haploid","del",0,TRUE,"haploid",TRUE
"43","43",NA,"haploid","wt",0,TRUE,"haploid",TRUE
"50","50",NA,"haploid","del",100,FALSE,"haploid",FALSE
"15x15","15",15,"homozygote","wt",100,FALSE,"diploid",FALSE
"88x93","88",93,"heterozygote","wt",100,FALSE,"diploid",TRUE
"56x67","56",67,"heterozygote","wt",100,FALSE,"diploid",TRUE
"46","46",NA,"haploid","del",0,TRUE,"haploid",TRUE
"64x46","64",46,"heterozygote","del",100,FALSE,"diploid",FALSE
"25x96","25",96,"heterozygote","del",100,FALSE,"diploid",FALSE
"30x67","30",67,"heterozygote","wt",100,FALSE,"diploid",TRUE
"53x53","53",53,"homozygote","del",100,FALSE,"diploid",TRUE
"121","121",NA,"haploid","wt",87,FALSE,"haploid",TRUE
"93x93","93",93,"homozygote","wt",0,TRUE,"diploid",TRUE
"91x20","91",20,"heterozygote","wt",0,TRUE,"diploid",TRUE
"111x111","111",111,"homozygote","wt",87,FALSE,"diploid",TRUE
"136x20","136",20,"heterozygote","wt",0,TRUE,"diploid",TRUE
"82x82","82",82,"homozygote","wt",100,FALSE,"diploid",TRUE
"110x93","110",93,"heterozygote","wt",87,FALSE,"diploid",TRUE
"65","65",NA,"haploid","wt",100,FALSE,"haploid",TRUE
"64x64","64",64,"homozygote","del",100,FALSE,"diploid",FALSE
"134x134","134",134,"homozygote","del",0,TRUE,"diploid",TRUE
"134x135","134",135,"heterozygote","del",0,TRUE,"diploid",FALSE
"57","57",NA,"haploid","del",100,FALSE,"haploid",TRUE
"32x96","32",96,"heterozygote","del",100,FALSE,"diploid",FALSE
"86x46","86",46,"heterozygote","del",100,FALSE,"diploid",FALSE
"113x93","113",93,"heterozygote","wt",87,FALSE,"diploid",TRUE
"54x96","54",96,"heterozygote","del",100,FALSE,"diploid",TRUE
"88x88","88",88,"homozygote","wt",100,FALSE,"diploid",TRUE
"45x67","45",67,"heterozygote","wt",0,TRUE,"diploid",FALSE
"12x12","12",12,"homozygote","wt",100,FALSE,"diploid",TRUE
"136","136",NA,"haploid","wt",0,TRUE,"haploid",FALSE
"101x101","101",101,"homozygote","wt",100,FALSE,"diploid",TRUE
"72x72","72",72,"homozygote","del",0,TRUE,"diploid",FALSE
"35","35",NA,"haploid","del",100,FALSE,"haploid",TRUE
"56","56",NA,"haploid","wt",100,FALSE,"haploid",TRUE
"123","123",NA,"haploid","wt",87,FALSE,"haploid",FALSE
"91","91",NA,"haploid","wt",0,TRUE,"haploid",FALSE
