day,machine,Well.ID,line,pipettor,note
1,2,1,3x3,linnea,
1,2,2,93x67,linnea,
1,2,3,58x20,linnea,
1,2,4,94x96,linnea,
1,2,5,92x92,linnea,
1,2,6,26,linnea,
1,2,7,31,linnea,
1,2,8,blank,linnea,
1,2,9,69x67,linnea,
1,2,10,116x116,linnea,
1,2,11,29x29,linnea,
1,2,12,33x33,linnea,
1,2,13,80x135,linnea,
1,2,14,103x96,linnea,
1,2,15,blank,linnea,
1,2,16,104x67,linnea,
1,2,17,118,linnea,
1,2,18,72x96,linnea,
1,2,19,71x96,linnea,
1,2,20,123x20,linnea,
1,2,21,67x93,linnea,
1,2,22,123x20,linnea,
1,2,23,76x96,linnea,
1,2,24,1,linnea,
1,2,25,110x110,linnea,
1,2,26,50x46,linnea,
1,2,27,47x46,linnea,
1,2,28,81x67,linnea,
1,2,29,107x135,linnea,
1,2,30,109,linnea,
1,2,31,120x120,linnea,
1,2,32,1,linnea,
1,2,33,80x135,linnea,
1,2,34,135,linnea,
1,2,35,43,linnea,
1,2,36,50,linnea,
1,2,37,94x96,linnea,
1,2,38,15x15,linnea,
1,2,39,88x93,linnea,
1,2,40,56x67,linnea,
1,2,41,46,linnea,
1,2,42,64x46,linnea,
1,2,43,25x96,linnea,
1,2,44,30x67,linnea,
1,2,45,53x53,linnea,
1,2,46,121,linnea,
1,2,47,93x93,linnea,
1,2,48,91x20,linnea,
1,2,49,111x111,linnea,
1,2,50,136x20,linnea,
1,2,51,82x82,linnea,
1,2,52,110x93,linnea,
1,2,53,65,linnea,
1,2,54,64x64,linnea,
1,2,55,134x134,linnea,
1,2,56,134x135,linnea,
1,2,57,57,linnea,
1,2,58,32x96,linnea,
1,2,59,86x46,linnea,
1,2,60,72x96,linnea,
1,2,61,113x93,linnea,
1,2,62,54x96,linnea,
1,2,63,88x88,linnea,
1,2,64,45x67,linnea,
1,2,65,12x12,linnea,
1,2,66,136,linnea,
1,2,67,103x96,linnea,
1,2,68,101x101,linnea,
1,2,69,72x72,linnea,
1,2,70,35,linnea,
1,2,71,56,linnea,
1,2,72,25x96,linnea,
1,2,73,123,linnea,
1,2,74,91,linnea,
1,2,75,126x126,linnea,
1,2,76,104x104,linnea,
1,2,77,4,linnea,
1,2,78,93x67,linnea,
1,2,79,44x67,linnea,
1,2,80,89x135,linnea,
1,2,81,8x93,linnea,
1,2,82,37x37,linnea,
1,2,83,96,linnea,
1,2,84,89,linnea,
1,2,85,61x61,linnea,
1,2,86,125x125,linnea,
1,2,87,10,linnea,
1,2,88,62x62,linnea,
1,2,89,71x96,linnea,
1,2,90,126,linnea,
1,2,91,98x20,linnea,
1,2,92,112x112,linnea,
1,2,93,blank,linnea,
1,2,94,79x96,linnea,
1,2,95,53x96,linnea,
1,2,96,blank,linnea,
1,2,97,35x46,linnea,
1,2,98,102x67,linnea,
1,2,99,38x46,linnea,
1,2,100,35x35,linnea,
1,2,101,83x46,linnea,
1,2,102,112x93,linnea,
1,2,103,45x67,linnea,
1,2,104,blank,linnea,
1,2,105,17,linnea,
1,2,106,16x46,linnea,
1,2,107,109x109,linnea,
1,2,108,29,linnea,
1,2,109,89x89,linnea,
1,2,110,27x27,linnea,
1,2,111,76,linnea,
1,2,112,95x95,linnea,
1,2,113,93,linnea,
1,2,114,23x20,linnea,
1,2,115,43,linnea,
1,2,116,102x102,linnea,
1,2,117,96,linnea,
1,2,118,101x20,linnea,
1,2,119,87x87,linnea,
1,2,120,3x3,linnea,
1,2,121,120x120,linnea,
1,2,122,8,linnea,
1,2,123,blank,linnea,
1,2,124,23x23,linnea,
1,2,125,7x7,linnea,
1,2,126,8x93,linnea,
1,2,127,114x93,linnea,
1,2,128,15x67,linnea,
1,2,129,27,linnea,
1,2,130,81x67,linnea,
1,2,131,17,linnea,
1,2,132,108,linnea,
1,2,133,103,linnea,
1,2,134,8,linnea,
1,2,135,76x96,linnea,
1,2,136,79,linnea,
1,2,137,59,linnea,
1,2,138,blank,linnea,
1,2,139,6,linnea,
1,2,140,78,linnea,
1,2,141,82,linnea,
1,2,142,5x20,linnea,
1,2,143,122x122,linnea,
1,2,144,118x93,linnea,
1,2,145,7x7,linnea,
1,2,146,16x16,linnea,
1,2,147,26x26,linnea,
1,2,148,62x67,linnea,
1,2,149,12x12,linnea,
1,2,150,61x61,linnea,
1,2,151,9x46,linnea,
1,2,152,27x27,linnea,
1,2,153,55x67,linnea,
1,2,154,88x93,linnea,
1,2,155,89x89,linnea,
1,2,156,102x67,linnea,
1,2,157,56x56,linnea,
1,2,158,107x107,linnea,
1,2,159,83x46,linnea,
1,2,160,86x46,linnea,
1,2,161,47x47,linnea,
1,2,162,16x46,linnea,
1,2,163,124x20,linnea,
1,2,164,17x17,linnea,
1,2,165,42x42,linnea,
1,2,166,115,linnea,
1,2,167,94,linnea,
1,2,168,14x14,linnea,
1,2,169,44x44,linnea,
1,2,170,3,linnea,
1,2,171,130x130,linnea,
1,2,172,65x93,linnea,
1,2,173,5x5,linnea,
1,2,174,51x51,linnea,
1,2,175,136,linnea,
1,2,176,44,linnea,
1,2,177,129,linnea,
1,2,178,48x48,linnea,
1,2,179,103,linnea,
1,2,180,58x20,linnea,
1,2,181,33x20,linnea,
1,2,182,3x135,linnea,
1,2,183,48x48,linnea,
1,2,184,126x93,linnea,
1,2,185,107,linnea,
1,2,186,18x18,linnea,
1,2,187,53x53,linnea,
1,2,188,blank,linnea,
1,2,189,blank,linnea,
1,2,190,40x135,linnea,
1,2,191,89,linnea,
1,2,192,73x135,linnea,
1,2,193,122x122,linnea,
1,2,194,86x86,linnea,
1,2,195,83,linnea,
1,2,196,10x96,linnea,
1,2,197,129x129,linnea,
1,2,198,47x47,linnea,
1,2,199,3,linnea,
1,2,200,50x50,linnea,
2,2,1,93,matt,
2,2,2,50x46,matt,
2,2,3,80x80,matt,
2,2,4,43x43,matt,
2,2,5,10x10,matt,
2,2,6,83,matt,
2,2,7,111,matt,
2,2,8,72x96,matt,
2,2,9,122x67,matt,
2,2,10,9,matt,
2,2,11,123x123,matt,
2,2,12,53x53,matt,
2,2,13,23,matt,
2,2,14,114x93,matt,
2,2,15,54,matt,
2,2,16,111x111,matt,
2,2,17,69,matt,
2,2,18,12x12,matt,
2,2,19,89x89,matt,
2,2,20,77x96,matt,
2,2,21,92x20,matt,
2,2,22,44x44,matt,
2,2,23,31x31,matt,
2,2,24,117x46,matt,
2,2,25,133,matt,
2,2,26,78x93,matt,
2,2,27,108x108,matt,
2,2,28,4x4,matt,
2,2,29,116,matt,
2,2,30,35x35,matt,
2,2,31,97x93,matt,
2,2,32,69x69,matt,
2,2,33,17x135,matt,
2,2,34,83x46,matt,
2,2,35,70,matt,
2,2,36,94x94,matt,
2,2,37,110,matt,
2,2,38,blank,matt,
2,2,39,120x120,matt,
2,2,40,47x46,matt,
2,2,41,42x93,matt,
2,2,42,81,matt,
2,2,43,28x67,matt,
2,2,44,119x93,matt,
2,2,45,20,matt,
2,2,46,100,matt,
2,2,47,88,matt,
2,2,48,26,matt,
2,2,49,116,matt,
2,2,50,62x67,matt,
2,2,51,106,matt,
2,2,52,32x32,matt,
2,2,53,58x58,matt,
2,2,54,106,matt,
2,2,55,107,matt,
2,2,56,3,matt,
2,2,57,65x65,matt,
2,2,58,108x20,matt,
2,2,59,69x69,matt,
2,2,60,35,matt,
2,2,61,106x96,matt,
2,2,62,11x67,matt,
2,2,63,11,matt,
2,2,64,59x20,matt,
2,2,65,79x96,matt,
2,2,66,35,matt,
2,2,67,133x133,matt,
2,2,68,71,matt,
2,2,69,134x135,matt,
2,2,70,136x136,matt,
2,2,71,112x93,matt,
2,2,72,98x98,matt,
2,2,73,27x27,matt,
2,2,74,67x67,matt,
2,2,75,14x14,matt,
2,2,76,116,matt,
2,2,77,124,matt,
2,2,78,44,matt,
2,2,79,27x27,matt,
2,2,80,64,matt,
2,2,81,37x135,matt,
2,2,82,31,matt,
2,2,83,47x47,matt,
2,2,84,38,matt,
2,2,85,76x76,matt,
