"ID","anc_ID","MAT","RDH","MA","KO","mateA","petite"
"M86","86","alpha","del",TRUE,FALSE,NA,FALSE
"M137","137","a","wt",TRUE,FALSE,NA,FALSE
"K35","70","alpha","del",TRUE,TRUE,"35",FALSE
"K53","101","a","del",TRUE,TRUE,"53",FALSE
"Ma+3","a+3","a","wt",FALSE,FALSE,NA,FALSE
"Malpha+1","alpha+1","alpha","wt",FALSE,FALSE,NA,FALSE
"Ma-3","a-3","a","del",FALSE,FALSE,NA,FALSE
"M153","153","a","wt",TRUE,FALSE,NA,FALSE
"M194","194","alpha","wt",TRUE,FALSE,NA,FALSE
"M33","33","a","wt",TRUE,FALSE,NA,FALSE
"M2","2","alpha","wt",TRUE,FALSE,NA,FALSE
"K27","49","a","wt",TRUE,TRUE,"27",FALSE
"K100","182","alpha","del",TRUE,TRUE,"100",TRUE
"K15","33","a","wt",TRUE,TRUE,"15",FALSE
"K56","106","alpha","wt",TRUE,TRUE,"56",FALSE
"K6","13","a","del",TRUE,TRUE,"6",FALSE
"K83","157","a","del",TRUE,TRUE,"83",FALSE
"K26","46","alpha","del",TRUE,TRUE,"26",FALSE
"M114","114","alpha","wt",TRUE,FALSE,NA,FALSE
"K30","57","a","wt",TRUE,TRUE,"30",FALSE
"M207","207","alpha","wt",TRUE,FALSE,NA,FALSE
"Ma+2","a+2","a","wt",FALSE,FALSE,NA,FALSE
"M204","204","alpha","wt",TRUE,FALSE,NA,FALSE
"M166","166","alpha","del",TRUE,FALSE,NA,FALSE
"K23","a+2","a","wt",FALSE,TRUE,"23",FALSE
"M22","22","alpha","del",TRUE,FALSE,NA,FALSE
"M190","190","alpha","del",TRUE,FALSE,NA,FALSE
"M53","53","a","del",TRUE,FALSE,NA,FALSE
"K69","alpha+1","alpha","wt",FALSE,TRUE,"69",FALSE
"Malpha-2","alpha-2","alpha","del",FALSE,FALSE,NA,FALSE
"M134","134","alpha","del",TRUE,FALSE,NA,FALSE
"K45","alpha+3","alpha","wt",FALSE,TRUE,"45",FALSE
"K62","121","a","wt",TRUE,TRUE,"62",FALSE
"K67","a+1","a","wt",FALSE,TRUE,"67",FALSE
"K113","207","alpha","wt",TRUE,TRUE,"113",FALSE
"M149","149","a","del",TRUE,FALSE,NA,FALSE
"Malpha-3","alpha-3","alpha","del",FALSE,FALSE,NA,FALSE
"M10","10","alpha","wt",TRUE,FALSE,NA,FALSE
"M161","161","a","wt",TRUE,FALSE,NA,FALSE
"K114","208","alpha","wt",TRUE,TRUE,"114",FALSE
"K106","197","a","del",TRUE,TRUE,"106",TRUE
"K126","214","alpha","wt",TRUE,TRUE,"126",FALSE
"K77","142","alpha","del",TRUE,TRUE,"77",FALSE
"K51","97","a","wt",TRUE,TRUE,"51",FALSE
"K133","a+2","a","wt",FALSE,TRUE,"133",FALSE
"M126","126","alpha","del",TRUE,FALSE,NA,FALSE
"M25","25","a","wt",TRUE,FALSE,NA,FALSE
"K3","5","a","del",TRUE,TRUE,"3",FALSE
"K134","a-2","a","del",FALSE,TRUE,"134",FALSE
"K2","2","alpha","wt",TRUE,TRUE,"2",TRUE
"K102","186","alpha","wt",TRUE,TRUE,"102",FALSE
"M178","178","alpha","wt",TRUE,FALSE,NA,FALSE
"K4","6","alpha","del",TRUE,TRUE,"4",FALSE
"K49","93","a","del",TRUE,TRUE,"49",FALSE
"Malpha-1","alpha-1","alpha","del",FALSE,FALSE,NA,FALSE
"K119","alpha+2","alpha","wt",FALSE,TRUE,"119",FALSE
"K109","203","alpha","wt",TRUE,TRUE,"109",FALSE
"K37","77","a","del",TRUE,TRUE,"37",FALSE
"K118","a+1","a","wt",FALSE,TRUE,"118",FALSE
"K123","211","alpha","wt",TRUE,TRUE,"123",FALSE
"K129","218","alpha","wt",TRUE,TRUE,"129",FALSE
"K73","133","a","del",TRUE,TRUE,"73",FALSE
"M185","185","a","wt",TRUE,FALSE,NA,FALSE
"M61","61","a","del",TRUE,FALSE,NA,FALSE
"K39","81","a","wt",TRUE,TRUE,"39",FALSE
"K84","158","alpha","del",TRUE,TRUE,"84",FALSE
"K91","a+3","a","wt",FALSE,TRUE,"91",FALSE
"M212","212","alpha","wt",TRUE,FALSE,NA,FALSE
"K86","165","a","del",TRUE,TRUE,"86",FALSE
"M69","69","a","del",TRUE,FALSE,NA,FALSE
"Malpha+3","alpha+3","alpha","wt",FALSE,FALSE,NA,FALSE
"M46","46","alpha","del",TRUE,FALSE,NA,FALSE
"K29","53","a","del",TRUE,TRUE,"29",FALSE
"M182","182","alpha","del",TRUE,FALSE,NA,FALSE
"M37","37","a","del",TRUE,FALSE,NA,FALSE
"K58","113","a","wt",TRUE,TRUE,"58",TRUE
"Ma-1","a-1","a","del",FALSE,FALSE,NA,FALSE
"K72","alpha-2","alpha","del",FALSE,TRUE,"72",FALSE
"M203","203","alpha","wt",TRUE,FALSE,NA,FALSE
"M125","125","a","del",TRUE,FALSE,NA,FALSE
"K9","21","a","del",TRUE,TRUE,"9",FALSE
"M142","142","alpha","del",TRUE,FALSE,NA,FALSE
"M198","198","alpha","del",TRUE,FALSE,NA,FALSE
"K130","219","alpha","del",TRUE,TRUE,"130",FALSE
"K105","194","alpha","wt",TRUE,TRUE,"105",FALSE
"M101","101","a","del",TRUE,FALSE,NA,FALSE
"K28","50","alpha","wt",TRUE,TRUE,"28",FALSE
"M205","205","alpha","wt",TRUE,FALSE,NA,FALSE
"K94","a-1","a","del",FALSE,TRUE,"94",FALSE
"Ma-2","a-2","a","del",FALSE,FALSE,NA,FALSE
"K38","78","alpha","del",TRUE,TRUE,"38",FALSE
"M70","70","alpha","del",TRUE,FALSE,NA,FALSE
"K32","62","alpha","del",TRUE,TRUE,"32",FALSE
"K64","126","alpha","del",TRUE,TRUE,"64",FALSE
"K112","206","alpha","wt",TRUE,TRUE,"112",FALSE
"M41","41","a","wt",TRUE,FALSE,NA,FALSE
"M77","77","a","del",TRUE,FALSE,NA,FALSE
"K33","65","a","wt",TRUE,TRUE,"33",FALSE
"K34","69","a","del",TRUE,TRUE,"34",FALSE
"M81","81","a","wt",TRUE,FALSE,NA,FALSE
"M30","30","alpha","del",TRUE,FALSE,NA,FALSE
"K115","alpha+3","alpha","wt",FALSE,TRUE,"115",FALSE
"K128","216","alpha","del",TRUE,TRUE,"128",FALSE
"K42","89","a","wt",TRUE,TRUE,"42",TRUE
"M154","154","alpha","wt",TRUE,FALSE,NA,FALSE
"K92","alpha+1","alpha","wt",FALSE,TRUE,"92",FALSE
"K20","alpha+1","alpha","wt",FALSE,TRUE,"20",FALSE
"K19","a+1","a","wt",FALSE,TRUE,"19",FALSE
"M13","13","a","del",TRUE,FALSE,NA,FALSE
"K90","174","alpha","del",TRUE,TRUE,"90",FALSE
"K121","209","alpha","wt",TRUE,TRUE,"121",FALSE
"K131","220","a","del",TRUE,TRUE,"131",FALSE
"M129","129","a","wt",TRUE,FALSE,NA,FALSE
"M141","141","a","del",TRUE,FALSE,NA,FALSE
"M181","181","a","del",TRUE,FALSE,NA,FALSE
"K63","125","a","del",TRUE,TRUE,"63",FALSE
"Ma+1","a+1","a","wt",FALSE,FALSE,NA,FALSE
"K59","114","alpha","wt",TRUE,TRUE,"59",FALSE
"M6","6","alpha","del",TRUE,FALSE,NA,FALSE
"M38","38","alpha","del",TRUE,FALSE,NA,FALSE
"M50","50","alpha","wt",TRUE,FALSE,NA,FALSE
"M26","26","alpha","wt",TRUE,FALSE,NA,FALSE
"K40","85","a","del",TRUE,TRUE,"40",FALSE
"M21","21","a","del",TRUE,FALSE,NA,FALSE
"K14","30","alpha","del",TRUE,TRUE,"14",FALSE
"M17","17","a","wt",TRUE,FALSE,NA,FALSE
"K101","185","a","wt",TRUE,TRUE,"101",FALSE
"K127","215","alpha","wt",TRUE,TRUE,"127",TRUE
"K5","10","alpha","wt",TRUE,TRUE,"5",FALSE
"K98","178","alpha","wt",TRUE,TRUE,"98",FALSE
"K57","109","a","del",TRUE,TRUE,"57",FALSE
"K111","205","alpha","wt",TRUE,TRUE,"111",FALSE
"K97","177","a","wt",TRUE,TRUE,"97",FALSE
"K16","37","a","del",TRUE,TRUE,"16",FALSE
