Day,Machine,Plate,Bioscreen_plate,Well,Line,Rack,Column,Row,Pipettor,Aberrant,Volume,Shaking
1,1,1,1,1,blank,n,n,n,Matt,FALSE,150,Low
1,1,1,1,2,M38,1,A,1,Linnea,FALSE,150,Low
1,1,1,1,3,M50,1,A,2,Linnea,FALSE,150,Low
1,1,1,1,4,M26,1,A,3,Linnea,FALSE,150,Low
1,1,1,1,5,Ma+2.1,1,A,4,Linnea,FALSE,150,Low
1,1,1,1,6,K40,1,A,5,Linnea,FALSE,150,Low
1,1,1,1,7,M21,1,A,6,Linnea,FALSE,150,Low
1,1,1,1,8,K14,1,A,7,Linnea,FALSE,150,Low
1,1,1,1,9,M17,1,A,8,Linnea,FALSE,150,Low
1,1,1,1,10,K101,1,A,9,Linnea,FALSE,150,Low
1,1,1,1,11,K127,1,A,10,Linnea,FALSE,150,Low
1,1,1,1,12,K5,1,B,1,Linnea,FALSE,150,Low
1,1,1,1,13,K98,1,B,2,Linnea,FALSE,150,Low
1,1,1,1,14,K57,1,B,3,Linnea,FALSE,150,Low
1,1,1,1,15,K111,1,B,4,Linnea,FALSE,150,Low
1,1,1,1,16,K97,1,B,5,Linnea,FALSE,150,Low
1,1,1,1,17,K16,1,B,6,Linnea,FALSE,150,Low
1,1,1,1,18,K66,1,B,7,Linnea,FALSE,150,Low
1,1,1,1,19,K60,1,B,8,Linnea,FALSE,150,Low
1,1,1,1,20,K104,1,B,9,Linnea,FALSE,150,Low
1,1,1,1,21,K76,1,B,10,Linnea,FALSE,150,Low
1,1,1,1,22,Malpha-3.1,1,C,1,Linnea,FALSE,150,Low
1,1,1,1,23,K116,1,C,2,Linnea,FALSE,150,Low
1,1,1,1,24,K74,1,C,3,Linnea,FALSE,150,Low
1,1,1,1,25,Ma-1.2,1,C,4,Linnea,FALSE,150,Low
1,1,1,1,26,M73,1,C,5,Linnea,FALSE,150,Low
1,1,1,1,27,M118,1,C,6,Linnea,FALSE,150,Low
1,1,1,1,28,Malpha-1.2,1,C,7,Linnea,FALSE,150,Low
1,1,1,1,29,K95,1,C,8,Linnea,FALSE,150,Low
1,1,1,1,30,M169,1,C,9,Linnea,FALSE,150,Low
1,1,1,1,31,M211,1,C,10,Linnea,FALSE,150,Low
1,1,1,1,32,K65,1,D,1,Linnea,FALSE,150,Low
1,1,1,1,33,K81,1,D,2,Linnea,FALSE,150,Low
1,1,1,1,34,M197,1,D,3,Linnea,FALSE,150,Low
1,1,1,1,35,M193,1,D,4,Linnea,FALSE,150,Low
1,1,1,1,36,M49,1,D,5,Linnea,FALSE,150,Low
1,1,1,1,37,K31,1,D,6,Linnea,FALSE,150,Low
1,1,1,1,38,K88,1,D,7,Linnea,FALSE,150,Low
1,1,1,1,39,K55,1,D,8,Linnea,FALSE,150,Low
1,1,1,1,40,K135,1,D,9,Linnea,FALSE,150,Low
1,1,1,1,41,K82,1,D,10,Linnea,FALSE,150,Low
1,1,1,1,42,M78,1,E,1,Linnea,FALSE,150,Low
1,1,1,1,43,M109,1,E,2,Linnea,FALSE,150,Low
1,1,1,1,44,Ma-2.1,1,E,3,Linnea,FALSE,150,Low
1,1,1,1,45,K44,1,E,4,Linnea,FALSE,150,Low
1,1,1,1,46,M174,1,E,5,Linnea,FALSE,150,Low
1,1,1,1,47,K17,1,E,6,Linnea,FALSE,150,Low
1,1,1,1,48,K18,1,E,7,Linnea,FALSE,150,Low
1,1,1,1,49,K110,1,E,8,Linnea,FALSE,150,Low
1,1,1,1,50,M157,1,E,9,Linnea,FALSE,150,Low
1,1,1,1,51,K71,1,E,10,Linnea,FALSE,150,Low
1,1,1,1,52,M85,1,F,1,Linnea,FALSE,150,Low
1,1,1,1,53,M145,1,F,2,Linnea,FALSE,150,Low
1,1,1,1,54,K75,1,F,3,Linnea,FALSE,150,Low
1,1,1,1,55,K47,1,F,4,Linnea,FALSE,150,Low
1,1,1,1,56,K24,1,F,5,Linnea,FALSE,150,Low
1,1,1,1,57,K96,1,F,6,Linnea,FALSE,150,Low
1,1,1,1,58,M214,1,F,7,Linnea,FALSE,150,Low
1,1,1,1,59,M206,1,F,8,Linnea,FALSE,150,Low
1,1,1,1,60,M133,1,F,9,Linnea,FALSE,150,Low
1,1,1,1,61,M210,1,F,10,Linnea,FALSE,150,Low
1,1,1,1,62,K89,1,G,1,Linnea,FALSE,150,Low
1,1,1,1,63,M173,1,G,2,Linnea,FALSE,150,Low
1,1,1,1,64,M220,1,G,3,Linnea,FALSE,150,Low
1,1,1,1,65,M5,1,G,4,Linnea,FALSE,150,Low
1,1,1,1,66,M89,1,G,5,Linnea,FALSE,150,Low
1,1,1,1,67,M14,1,G,6,Linnea,FALSE,150,Low
1,1,1,1,68,M93,1,G,7,Linnea,FALSE,150,Low
1,1,1,1,69,M208,1,G,8,Linnea,FALSE,150,Low
1,1,1,1,70,M150,1,G,9,Linnea,FALSE,150,Low
1,1,1,1,71,M1,1,G,10,Linnea,FALSE,150,Low
1,1,1,1,72,M202,1,H,1,Linnea,FALSE,150,Low
1,1,1,1,73,K68,1,H,2,Linnea,FALSE,150,Low
1,1,1,1,74,M65,1,H,3,Linnea,FALSE,150,Low
1,1,1,1,75,K8,1,H,4,Linnea,FALSE,150,Low
