"Group","Line","Ploidy","MAT","RDH54"
"MA",7,"dip","dip","del"
"control",397,"dip","dip","del"
"MA",36,"dip","dip","wt"
"MA",100,"dip","dip","wt"
"control",469,"hap","a","del"
"MA",39,"dip","dip","del"
"MA",122,"dip","dip","wt"
"MA",175,"dip","dip","del"
"control",464,"dip","dip","del"
"MA",179,"dip","dip","wt"
"MA",182,"hap","alpha","del"
"MA",55,"dip","dip","del"
"control",375,"dip","dip","wt"
"control",392,"hap","alpha","wt"
"MA",137,"hap","a","wt"
"MA",49,"hap","a","wt"
"MA",13,"hap","a","del"
"MA",3,"dip","dip","wt"
"MA",194,"hap","alpha","wt"
"MA",150,"hap","alpha","del"
"control",358,"hap","alpha","del"
"MA",180,"dip","dip","wt"
"control",307,"dip","dip","wt"
"MA",157,"hap","a","del"
"MA",126,"hap","alpha","del"
"control",468,"hap","a","del"
"control",357,"hap","alpha","del"
"MA",53,"hap","a","del"
"control",411,"hap","a","del"
"MA",45,"hap","a","del"
"MA",153,"hap","a","wt"
"control",461,"dip","dip","del"
"control",350,"hap","a","del"
"MA",15,"dip","dip","del"
"MA",177,"hap","a","wt"
"MA",131,"dip","dip","wt"
"control",403,"dip","dip","del"
"control",360,"hap","alpha","del"
"MA",158,"hap","alpha","del"
"control",310,"dip","dip","wt"
"MA",163,"dip","dip","wt"
"control",369,"dip","dip","wt"
"MA",188,"dip","dip","wt"
"MA",64,"dip","dip","del"
"control",380,"hap","a","wt"
"control",367,"dip","dip","wt"
"MA",210,"hap","alpha","wt"
"control",402,"dip","dip","del"
"MA",57,"hap","a","wt"
"MA",213,"hap","alpha","wt"
"control",368,"dip","dip","wt"
"MA",120,"dip","dip","del"
"control",396,"dip","dip","del"
"control",400,"dip","dip","del"
"control",371,"dip","dip","wt"
"MA",173,"hap","a","del"
"MA",70,"hap","alpha","del"
"MA",151,"dip","dip","del"
"control",438,"hap","a","wt"
"control",418,"hap","alpha","del"
"control",303,"dip","dip","wt"
"MA",203,"hap","alpha","wt"
"MA",30,"hap","alpha","del"
"control",432,"dip","dip","wt"
"control",408,"hap","a","del"
"control",302,"dip","dip","wt"
"MA",107,"dip","dip","wt"
"MA",10,"hap","alpha","wt"
"control",318,"hap","a","wt"
"MA",26,"hap","alpha","wt"
"control",466,"dip","dip","del"
"control",359,"hap","alpha","del"
"MA",24,"dip","dip","del"
"MA",58,"dip","dip","wt"
"MA",48,"dip","dip","del"
"MA",69,"hap","a","del"
"MA",82,"dip","dip","wt"
"control",342,"dip","dip","del"
"control",467,"dip","dip","del"
"control",312,"dip","dip","wt"
"MA",6,"hap","alpha","del"
"control",337,"dip","dip","del"
"MA",59,"dip","dip","wt"
"MA",218,"hap","alpha","wt"
"MA",96,"dip","dip","del"
"MA",19,"dip","dip","wt"
"control",378,"hap","a","wt"
"MA",101,"hap","a","del"
"control",332,"hap","alpha","wt"
"control",317,"hap","a","wt"
"MA",11,"dip","dip","wt"
"MA",209,"hap","alpha","wt"
"control",475,"hap","a","del"
"MA",85,"hap","a","del"
"control",301,"dip","dip","wt"
"control",352,"hap","a","del"
"control",385,"hap","alpha","wt"
"control",324,"hap","a","wt"
"MA",167,"dip","dip","del"
"MA",56,"dip","dip","del"
"control",420,"hap","alpha","del"
"MA",127,"dip","dip","del"
"MA",17,"hap","a","wt"
"MA",79,"dip","dip","del"
"MA",46,"hap","alpha","del"
"control",430,"dip","dip","wt"
"control",459,"dip","dip","del"
"MA",66,"dip","dip","wt"
"MA",135,"dip","dip","del"
"MA",169,"hap","a","wt"
"MA",186,"hap","alpha","wt"
"MA",74,"dip","dip","wt"
"MA",145,"hap","a","wt"
"control",387,"hap","alpha","wt"
"MA",91,"dip","dip","wt"
"control",316,"dip","dip","wt"
"control",306,"dip","dip","wt"
"control",329,"hap","alpha","wt"
"MA",214,"hap","alpha","wt"
"MA",195,"dip","dip","wt"
"control",328,"hap","alpha","wt"
"MA",76,"dip","dip","wt"
"MA",16,"dip","dip","del"
"MA",132,"dip","dip","wt"
"control",425,"dip","dip","wt"
"control",413,"hap","a","del"
"MA",62,"hap","alpha","del"
"control",343,"dip","dip","del"
"MA",95,"dip","dip","del"
"MA",14,"hap","alpha","del"
"control",409,"hap","a","del"
"MA",176,"dip","dip","del"
"MA",50,"hap","alpha","wt"
"control",390,"hap","alpha","wt"
"control",319,"hap","a","wt"
"control",477,"hap","alpha","del"
"control",309,"dip","dip","wt"
"control",462,"dip","dip","del"
"control",453,"dip","dip","del"
"MA",2,"hap","alpha","wt"
"MA",118,"hap","alpha","del"
"control",452,"hap","alpha","wt"
"MA",108,"dip","dip","wt"
"MA",87,"dip","dip","del"
"MA",33,"hap","a","wt"
"control",448,"hap","alpha","wt"
"control",429,"dip","dip","wt"
"MA",212,"hap","alpha","wt"
"control",427,"dip","dip","wt"
"MA",65,"hap","a","wt"
"control",415,"hap","alpha","del"
"control",460,"dip","dip","del"
