code	MAT	RDH
1	a	wt
2	alpha	wt
3	dip	wt
4	dip	wt
5	a	del
6	alpha	del
7	dip	del
8	dip	del
9	a	wt
10	alpha	wt
11	dip	wt
12	dip	wt
13	a	del
14	alpha	del
15	dip	del
16	dip	del
17	a	wt
18	dip	wt
19	dip	wt
20	dip	wt
21	a	del
22	alpha	del
23	dip	del
24	dip	del
25	a	wt
26	alpha	wt
27	dip	wt
28	dip	wt
29	a	del
30	alpha	del
31	dip	del
32	dip	del
33	a	wt
34	dip	wt
35	dip	wt
36	dip	wt
37	a	del
38	alpha	del
39	dip	del
40	dip	del
41	a	wt
42	dip	wt
43	dip	wt
44	dip	wt
45	a	del
46	alpha	del
47	dip	del
48	dip	del
49	a	wt
50	alpha	wt
51	dip	wt
52	dip	wt
53	a	del
54	alpha	del
55	dip	del
56	dip	del
57	a	wt
58	dip	wt
59	dip	wt
60	dip	wt
61	a	del
62	alpha	del
63	dip	del
64	dip	del
65	a	wt
66	dip	wt
67	dip	wt
68	dip	wt
69	a	del
70	alpha	del
71	dip	del
72	dip	del
73	a	wt
74	dip	wt
75	dip	wt
76	dip	wt
77	a	del
78	alpha	del
79	dip	del
80	dip	del
81	a	wt
82	dip	wt
83	dip	wt
84	dip	wt
85	a	del
86	alpha	del
87	dip	del
88	dip	del
89	a	wt
90	dip	wt
91	dip	wt
92	dip	wt
93	a	del
94	alpha	del
95	dip	del
96	dip	del
97	a	wt
98	alpha	wt
99	dip	wt
100	dip	wt
101	a	del
102	alpha	del
103	dip	del
104	dip	del
105	a	wt
106	alpha	wt
107	dip	wt
108	dip	wt
109	a	del
110	alpha	del
111	dip	del
112	dip	del
113	a	wt
114	alpha	wt
115	dip	wt
116	dip	wt
117	a	del
118	alpha	del
119	dip	del
120	dip	del
121	a	wt
122	dip	wt
123	dip	wt
124	dip	wt
125	a	del
126	alpha	del
127	dip	del
128	dip	del
129	a	wt
130	alpha	wt
131	dip	wt
132	dip	wt
133	a	del
134	alpha	del
135	dip	del
136	dip	del
137	a	wt
138	dip	wt
139	dip	wt
140	dip	wt
141	a	del
142	alpha	del
143	dip	del
144	dip	del
145	a	wt
146	dip	wt
147	dip	wt
148	dip	wt
149	a	del
150	alpha	del
151	dip	del
152	dip	del
153	a	wt
154	alpha	wt
155	dip	wt
156	dip	wt
157	a	del
158	alpha	del
159	dip	del
160	dip	del
161	a	wt
162	dip	wt
163	dip	wt
164	dip	wt
165	a	del
166	alpha	del
167	dip	del
168	dip	del
169	a	wt
170	dip	wt
171	dip	wt
172	dip	wt
173	a	del
174	alpha	del
175	dip	del
176	dip	del
177	a	wt
178	alpha	wt
179	dip	wt
180	dip	wt
181	a	del
182	alpha	del
183	dip	del
184	dip	del
185	a	wt
186	alpha	wt
187	dip	wt
188	dip	wt
189	a	del
190	alpha	del
191	dip	del
192	dip	del
193	a	wt
194	alpha	wt
195	dip	wt
196	dip	wt
197	a	del
198	alpha	del
199	dip	del
200	dip	del
201	alpha	wt
202	alpha	wt
203	alpha	wt
204	alpha	wt
205	alpha	wt
206	alpha	wt
207	alpha	wt
208	alpha	wt
209	alpha	wt
210	alpha	wt
211	alpha	wt
212	alpha	wt
213	alpha	wt
214	alpha	wt
215	alpha	wt
216	alpha	del
217	dip	del
218	alpha	wt
219	alpha	del
220	a	del
