day	machine	plateName	plateLR	well	line
1	1	1	1	1	7
1	1	1	1	2	397
1	1	1	1	3	36
1	1	1	1	4	100
1	1	1	1	5	469
1	1	1	1	6	39
1	1	1	1	7	122
1	1	1	1	8	175
1	1	1	1	9	464
1	1	1	1	10	179
1	1	1	1	11	182
1	1	1	1	12	55
1	1	1	1	13	375
1	1	1	1	14	392
1	1	1	1	15	137
1	1	1	1	16	49
1	1	1	1	17	13
1	1	1	1	18	3
1	1	1	1	19	194
1	1	1	1	20	150
1	1	1	1	21	358
1	1	1	1	22	180
1	1	1	1	23	307
1	1	1	1	24	157
1	1	1	1	25	126
1	1	1	1	26	468
1	1	1	1	27	357
1	1	1	1	28	53
1	1	1	1	29	411
1	1	1	1	30	45
1	1	1	1	31	153
1	1	1	1	32	461
1	1	1	1	33	350
1	1	1	1	34	15
1	1	1	1	35	177
1	1	1	1	36	131
1	1	1	1	37	403
1	1	1	1	38	360
1	1	1	1	39	158
1	1	1	1	40	310
1	1	1	1	41	163
1	1	1	1	42	369
1	1	1	1	43	188
1	1	1	1	44	64
1	1	1	1	45	380
1	1	1	1	46	367
1	1	1	1	47	210
1	1	1	1	48	402
1	1	1	1	49	57
1	1	1	1	50	213
1	1	1	1	51	368
1	1	1	1	52	120
1	1	1	1	53	396
1	1	1	1	54	400
1	1	1	1	55	371
1	1	1	1	56	173
1	1	1	1	57	70
1	1	1	1	58	151
1	1	1	1	59	438
1	1	1	1	60	418
1	1	1	1	61	303
1	1	1	1	62	203
1	1	1	1	63	30
1	1	1	1	64	432
1	1	1	1	65	408
1	1	1	1	66	302
1	1	1	1	67	107
1	1	1	1	68	10
1	1	1	1	69	318
1	1	1	1	70	26
1	1	1	1	71	466
1	1	1	1	72	359
1	1	1	1	73	24
1	1	1	1	74	58
1	1	1	1	75	48
1	1	1	1	76	69
1	1	1	1	77	82
1	1	1	1	78	342
1	1	1	1	79	467
1	1	1	1	80	312
1	1	1	1	81	6
1	1	1	1	82	337
1	1	1	1	83	59
1	1	1	1	84	218
