"sample","mateA","mateB","type","RDH","n_bott","petite","group"
"115x115","115",115,"homozygote","wt",0,TRUE,"control"
"30x92","30",92,"heterozygote","wt",100,TRUE,"MA"
"98","98",NA,"haploid","wt",100,FALSE,"MA"
"62x67","62",67,"heterozygote","wt",100,TRUE,"MA"
"22","22",NA,"haploid","del",0,FALSE,"control"
"33x136","33",136,"heterozygote","wt",100,TRUE,"MA"
"69x69","69",69,"homozygote","wt",0,TRUE,"control"
"14x14","14",14,"homozygote","del",100,TRUE,"MA"
"5x136","5",136,"heterozygote","wt",100,TRUE,"MA"
"blank","blank",NA,"haploid",NA,NA,NA,NA
"66","66",NA,"haploid","wt",100,FALSE,"MA"
"8x67","8",67,"heterozygote","wt",100,TRUE,"MA"
"68x136","68",136,"heterozygote","wt",0,FALSE,"control"
"126","126",NA,"haploid","wt",87,FALSE,"MA"
"27x136","27",136,"heterozygote","wt",100,TRUE,"MA"
"88x136","88",136,"heterozygote","wt",100,FALSE,"MA"
"20","20",NA,"haploid","wt",0,FALSE,"control"
"40x40","40",40,"homozygote","del",100,FALSE,"MA"
"46","46",NA,"haploid","del",0,FALSE,"control"
"106x134","106",134,"heterozygote","del",100,TRUE,"MA"
"128","128",NA,"haploid","del",53,FALSE,"MA"
"14x48","14",48,"heterozygote","del",100,TRUE,"MA"
"134x134","134",134,"homozygote","del",0,FALSE,"control"
"24x24","24",24,"homozygote","del",0,FALSE,"control"
"37x37","37",37,"homozygote","del",100,TRUE,"MA"
"8","8",NA,"haploid","wt",100,FALSE,"MA"
"73x95","73",95,"heterozygote","del",100,FALSE,"MA"
"48x95","48",95,"heterozygote","del",0,FALSE,"control"
"73x73","73",73,"homozygote","del",100,FALSE,"MA"
"38","38",NA,"haploid","del",100,FALSE,"MA"
"128x128","128",128,"homozygote","del",53,FALSE,"MA"
"106","106",NA,"haploid","del",100,TRUE,"MA"
"15x15","15",15,"homozygote","wt",100,TRUE,"MA"
"131x131","131",131,"homozygote","del",67,TRUE,"MA"
"67x67","67",67,"homozygote","wt",0,FALSE,"control"
"124x136","124",136,"heterozygote","wt",87,TRUE,"MA"
"119","119",NA,"haploid","wt",0,FALSE,"control"
"18","18",NA,"haploid","wt",100,FALSE,"MA"
"89x89","89",89,"homozygote","del",100,TRUE,"MA"
"71x134","71",134,"heterozygote","del",0,FALSE,"control"
"123x123","123",123,"homozygote","wt",87,TRUE,"MA"
"100","100",NA,"haploid","del",100,TRUE,"MA"
"57","57",NA,"haploid","del",100,FALSE,"MA"
"130x95","130",95,"heterozygote","del",88,FALSE,"MA"
"82","82",NA,"haploid","wt",100,FALSE,"MA"
"1","1",NA,"haploid","wt",100,FALSE,"MA"
